x y z
-2.480204726518257630e+00 1.653469817678838716e-01 4.226917847174176401e-01
-2.149510762982489886e+00 1.653469817678838716e-01 5.730610339500734618e-01
-1.818816799446722365e+00 1.653469817678838716e-01 6.860780282717821033e-01
-1.488122835910954622e+00 1.653469817678838716e-01 7.494956227084335065e-01
-1.157428872375187101e+00 1.653469817678838716e-01 7.564415368774508597e-01
-8.267349088394193579e-01 1.653469817678838716e-01 7.061630732016579426e-01
-4.960409453036516148e-01 1.653469817678838716e-01 6.041086833710740400e-01
-1.653469817678838716e-01 1.653469817678838716e-01 4.613375440608567524e-01
1.653469817678838716e-01 1.653469817678838716e-01 2.933211235377490844e-01
4.960409453036516148e-01 1.653469817678838716e-01 1.182666080088035088e-01
8.267349088394189138e-01 1.653469817678838716e-01 -4.485612951773859658e-02
1.157428872375186657e+00 1.653469817678838716e-01 -1.783702093208236472e-01
1.488122835910954400e+00 1.653469817678838716e-01 -2.678073091693775054e-01
1.818816799446722143e+00 1.653469817678838716e-01 -3.034755315352224980e-01
2.149510762982489886e+00 1.653469817678838716e-01 -2.815096710755288778e-01
2.480204726518257630e+00 1.653469817678838716e-01 -2.042900696065408916e-01
2.810898690054025373e+00 1.653469817678838716e-01 -8.018466913299848731e-02
3.141592653589793116e+00 1.653469817678838716e-01 7.735778451009350798e-02
-3.141592653589793116e+00 4.960409453036516148e-01 1.003523779231358937e-01
-2.810898690054025373e+00 4.960409453036516148e-01 2.661246500007107829e-01
-2.480204726518257630e+00 4.960409453036516148e-01 4.264267674440926914e-01
-2.149510762982489886e+00 4.960409453036516148e-01 5.638875084846570740e-01
-1.818816799446722365e+00 4.960409453036516148e-01 6.636108689075046474e-01
-1.488122835910954622e+00 4.960409453036516148e-01 7.147902752434467377e-01
-1.157428872375187101e+00 4.960409453036516148e-01 7.118796446856765492e-01
-8.267349088394193579e-01 4.960409453036516148e-01 6.551943892182094942e-01
-4.960409453036516148e-01 4.960409453036516148e-01 5.508772358333146046e-01
-1.653469817678838716e-01 4.960409453036516148e-01 4.102325667476478532e-01
1.653469817678838716e-01 4.960409453036516148e-01 2.485014141835431012e-01
4.960409453036516148e-01 4.960409453036516148e-01 8.320985803871722153e-02
8.267349088394189138e-01 4.960409453036516148e-01 -6.773019681579611762e-02
1.157428872375186657e+00 4.960409453036516148e-01 -1.879620533602411325e-01
1.488122835910954400e+00 4.960409453036516148e-01 -2.644567243485522190e-01
1.818816799446722143e+00 4.960409453036516148e-01 -2.889248252420363872e-01
2.149510762982489886e+00 4.960409453036516148e-01 -2.587148576471781647e-01
2.480204726518257630e+00 4.960409453036516148e-01 -1.771005403088251606e-01
2.810898690054025373e+00 4.960409453036516148e-01 -5.292605088720236939e-02
3.141592653589793116e+00 4.960409453036516148e-01 1.003523779231338398e-01
-3.141592653589793116e+00 8.267349088394189138e-01 1.573063351912961094e-01
-2.810898690054025373e+00 8.267349088394189138e-01 3.076900371095508957e-01
-2.480204726518257630e+00 8.267349088394189138e-01 4.469485810010422888e-01
-2.149510762982489886e+00 8.267349088394189138e-01 5.599911428161813420e-01
-1.818816799446722365e+00 8.267349088394189138e-01 6.345678069462268311e-01
-1.488122835910954622e+00 8.267349088394189138e-01 6.625970346565167590e-01
-1.157428872375187101e+00 8.267349088394189138e-01 6.410414242063636747e-01
-8.267349088394193579e-01 8.267349088394189138e-01 5.722368604577944273e-01
-4.960409453036516148e-01 8.267349088394189138e-01 4.636393855057800995e-01
-1.653469817678838716e-01 8.267349088394189138e-01 3.270172208248065537e-01
1.653469817678838716e-01 8.267349088394189138e-01 1.771754978693725335e-01
4.960409453036516148e-01 8.267349088394189138e-01 3.035189235557633758e-02
8.267349088394189138e-01 8.267349088394189138e-01 -9.754297985618165523e-02
1.157428872375186657e+00 8.267349088394189138e-01 -1.926497248683480823e-01
1.488122835910954400e+00 8.267349088394189138e-01 -2.446620511256626385e-01
1.818816799446722143e+00 8.267349088394189138e-01 -2.479436160237372122e-01
2.149510762982489886e+00 8.267349088394189138e-01 -2.021388110871515376e-01
2.480204726518257630e+00 8.267349088394189138e-01 -1.122112976655533223e-01
2.810898690054025373e+00 8.267349088394189138e-01 1.209388279268008848e-02
3.141592653589793116e+00 8.267349088394189138e-01 1.573063351912969421e-01
-3.141592653589793116e+00 1.157428872375186657e+00 2.420478113128743392e-01
-2.810898690054025373e+00 1.157428872375186657e+00 3.714570286273163879e-01
-2.480204726518257630e+00 1.157428872375186657e+00 4.820333684606237235e-01
-2.149510762982489886e+00 1.157428872375186657e+00 5.617941686231634479e-01
-1.818816799446722365e+00 1.157428872375186657e+00 6.020961088009919582e-01
-1.488122835910954622e+00 1.157428872375186657e+00 5.985718484268076622e-01
-1.157428872375187101e+00 1.157428872375186657e+00 5.516032957966896522e-01
-8.267349088394193579e-01 1.157428872375186657e+00 4.662802223802948176e-01
-4.960409453036516148e-01 1.157428872375186657e+00 3.518487071061808247e-01
-1.653469817678838716e-01 1.157428872375186657e+00 2.207091802422039284e-01
