x u_state_1layers u_state_4layers u_state_8layers
2.7925267 -1.599845194537967 -0.3699723084075126 1.2410967445932926
2.8559933 -1.5226761564323352 -0.3722275749347362 1.2943876783978556
2.9194598 -1.4321413655423672 -0.3766963449477512 1.333662461361902
2.9829264 -1.3313042996041378 -0.3824534717228703 1.358001619481569
3.046393 -1.2233285623444896 -0.3885706491150222 1.3667994197405473
3.1098595 -1.1113370461691634 -0.39416363370655766 1.3597985310173246
3.173326 -0.9982781731988353 -0.39843440705445793 1.3371107286264208
3.2367926 -0.8868130987920226 -0.40070834658747767 1.2992300069079683
3.300259 -0.7792272864069696 -0.4004637393156997 1.247034091947407
3.3637257 -0.6773698253604533 -0.3973522016339801 1.181773327465554
3.4271922 -0.5826238990663067 -0.3912098746656378 1.1050489237442613
3.4906588 -0.49590366879245723 -0.38205663634604975 1.018773198484308
3.554125 -0.41768271634824344 -0.3700879004222611 0.9251252142989602
3.6175916 -0.34804080469907545 -0.35565445301780263 0.8264862262016371
3.6810582 -0.2867338075554284 -0.33923580011144233 0.7253724301711051
3.7445247 -0.2332723160415111 -0.3214074763378725 0.624357258218277
3.8079913 -0.18700592718972997 -0.3028025000881983 0.5259867809046922
3.8714578 -0.14720753539697656 -0.2840727656855629 0.43269697053965644
3.9349244 -0.11314832840945532 -0.26584880909183634 0.346728186457605
3.9983907 -0.08416123422586896 -0.24870396675151712 0.2700482288289804
4.061857 -0.059686250109403594 -0.23312183092399025 0.2042802288233232
4.125324 -0.039296153152791835 -0.21947034877711075 0.15064404187157293
4.1887903 -0.022702117703569225 -0.2079841666373481 0.10991076091896368
4.252257 -0.00973838701325197 -0.19875462390243098 0.0823738346787381
4.3157234 -0.00032958248860548434 -0.19172959538370832 0.06783807057622587
4.37919 0.005555739929606174 -0.18672126605776623 0.06562781857138722
4.4426565 0.007960902858622776 -0.18342190473276437 0.07461453260249573
4.506123 0.0070004883755155345 -0.18142784145011398 0.09326179860764539
4.5695896 0.0029171824249085154 -0.18026652241836144 0.11968822745324198
4.633056 -0.0038697018882972722 -0.17942893031415552 0.1517430417044187
4.6965227 -0.012728942627856676 -0.17840316994351274 0.18709403326720553
4.759989 -0.022799868310457272 -0.17670691888706574 0.22332245596920763
4.8234553 -0.03299574131601363 -0.17391816500415408 0.2580217240550382
4.886922 -0.04202877533916333 -0.16970209116135793 0.28889460265923805
4.9503884 -0.04845706377089437 -0.16383162344735508 0.3138450182813236
5.013855 -0.050751409964090444 -0.15620194603315224 0.33106235830510616
5.0773215 -0.047378155162906554 -0.14683804963688785 0.33909162581936303
5.140788 -0.03689294347148553 -0.13589426852463243 0.3368877562705036
5.2042546 -0.018039783594075987 -0.12364694081664379 0.3238522425307969
5.267721 0.010151892902783177 -0.1104809163168784 0.2998494073496685
5.3311877 0.048278525825765084 -0.09687035367901359 0.2652044710436443
5.3946543 0.09648951868696032 -0.08335541418509568 0.22067836776660293
5.458121 0.15443525046449003 -0.07051660960954909 0.16742766236673146
5.5215874 0.2212420871195629 -0.05894800660727362 0.10694525815286499
5.585054 0.29551565116596257 -0.04923115681473117 0.04098984688127966
5.6485205 0.37537594181708867 -0.04191103797622703 -0.028496274983182968
5.711987 0.45852289021098125 -0.037475163733589556 -0.0994739764225504
5.7754536 0.542328947982938 -0.03633734389029686 -0.1698972570594563
5.8389196 0.6239560249343552 -0.03882577661947462 -0.23779926218460623
5.902386 0.7004917596190718 -0.04517693938255901 -0.3013758697390841
5.9658527 0.7690902525736846 -0.05553389940220349 -0.3590531944249239
6.0293193 0.8271212816915794 -0.0699495842002153 -0.4095482746681848
6.092786 0.8723098350946086 -0.08839385618707585 -0.45191212261782693
6.1562524 0.9028607738266938 -0.1107635724194787 -0.48555642645921093
6.219719 0.9175582935932314 -0.13689383992233078 -0.5102615412216452
6.2831855 0.9158413572846018 -0.1665709324173083 -0.5261705727798243
