idx x y z
131 -0.5574896931648254 -0.6231192946434021 -0.5485698580741882
132 -0.5681151151657104 -0.60466468334198 -0.5582334995269775
133 -0.5787391066551208 -0.5858757495880127 -0.567287266254425
134 -0.589344322681427 -0.5667614340782166 -0.5757214426994324
135 -0.5999194979667664 -0.5473414063453674 -0.5835349559783936
136 -0.6104533672332764 -0.5276278257369995 -0.5907222628593445
137 -0.6209341287612915 -0.5076394081115723 -0.5972820520401001
138 -0.6313428282737732 -0.48738861083984375 -0.6032063961029053
139 -0.6416714191436768 -0.46689173579216003 -0.6084956526756287
140 -0.6519062519073486 -0.44616758823394775 -0.6131494045257568
141 -0.6620348691940308 -0.42522919178009033 -0.6171689033508301
142 -0.6720397472381592 -0.40408992767333984 -0.620547354221344
143 -0.681912362575531 -0.38276952505111694 -0.6232870221138
144 -0.6916371583938599 -0.3612819015979767 -0.625390887260437
145 -0.7012057304382324 -0.3396417498588562 -0.6268590688705444
146 -0.71060711145401 -0.3178686797618866 -0.6276983022689819
147 -0.7198195457458496 -0.2959742546081543 -0.6279028058052063
148 -0.7288376688957214 -0.27397462725639343 -0.6274807453155518
149 -0.7376502156257629 -0.25188660621643066 -0.6264381408691406
150 -0.7462456822395325 -0.22972819209098816 -0.6247766017913818
151 -0.754607617855072 -0.20750951766967773 -0.6225016117095947
152 -0.7627291679382324 -0.1852487325668335 -0.619620144367218
153 -0.7705985307693481 -0.16296161711215973 -0.6161395907402039
154 -0.778201162815094 -0.14066234230995178 -0.6120627522468567
155 -0.7855324745178223 -0.1183643639087677 -0.6074010133743286
156 -0.7925733327865601 -0.09608262777328491 -0.6021578907966614
157 -0.7993233799934387 -0.07383346557617188 -0.5963469743728638
158 -0.8057683110237122 -0.05163101851940155 -0.5899760723114014
159 -0.8119008541107178 -0.02948707342147827 -0.583056628704071
160 -0.8177027702331543 -0.007419764995574951 -0.5755915641784668
161 -0.8231768608093262 0.014561325311660767 -0.5676001310348511
162 -0.8283070921897888 0.03644247353076935 -0.5590870380401611
163 -0.8330879807472229 0.05820690840482712 -0.5500690340995789
164 -0.8375108242034912 0.07984376698732376 -0.5405545234680176
165 -0.8415715098381042 0.10134345293045044 -0.5305600166320801
166 -0.8452524542808533 0.12268862873315811 -0.5200902223587036
167 -0.8485571146011353 0.14386993646621704 -0.5091668963432312
168 -0.851477324962616 0.16487589478492737 -0.4978019893169403
169 -0.8540038466453552 0.18569441139698029 -0.4860062897205353
170 -0.856126606464386 0.2063116580247879 -0.47379520535469055
171 -0.8578516244888306 0.2267211675643921 -0.4611877202987671
172 -0.8591629862785339 0.2469092756509781 -0.4481927752494812
173 -0.8600608110427856 0.2668667733669281 -0.43482911586761475
174 -0.8605456948280334 0.28658628463745117 -0.4211147129535675
175 -0.8606006503105164 0.3060535788536072 -0.4070586562156677
176 -0.8602373003959656 0.3252641260623932 -0.39268434047698975
177 -0.8594404458999634 0.34420615434646606 -0.3780038356781006
178 -0.8582149744033813 0.3628734350204468 -0.36303621530532837
179 -0.8565556406974792 0.38125717639923096 -0.3477965295314789
180 -0.8544588685035706 0.3993470072746277 -0.3323027789592743
181 -0.8519283533096313 0.41713958978652954 -0.3165726959705353
182 -0.8489572405815125 0.43462586402893066 -0.3006211817264557
183 -0.845550000667572 0.4518030285835266 -0.2844688892364502
184 -0.841701865196228 0.4686579704284668 -0.2681315243244171
185 -0.8374220728874207 0.48519623279571533 -0.2516275942325592
186 -0.8326981663703918 0.5013999342918396 -0.23497337102890015
187 -0.827542245388031 0.5172720551490784 -0.21818813681602478
188 -0.8219496011734009 0.5328046679496765 -0.20128977298736572
189 -0.815925121307373 0.5479966402053833 -0.1842939853668213
190 -0.8094732165336609 0.5628461837768555 -0.16722074151039124
191 -0.8025922775268555 0.5773438811302185 -0.1500883400440216
192 -0.7952840328216553 0.5914884209632874 -0.1329120695590973
193 -0.7875587940216064 0.6052805185317993 -0.1157107949256897
194 -0.7794142961502075 0.6187154650688171 -0.0985017716884613
195 -0.7708613276481628 0.631794810295105 -0.08130264282226562
196 -0.7618986368179321 0.6445128917694092 -0.06413218379020691
197 -0.7525363564491272 0.6568725109100342 -0.04700571298599243
198 -0.7427765130996704 0.6688729524612427 -0.029940038919448853
199 -0.732626736164093 0.6805114150047302 -0.012953042984008789
200 -0.72209233045578 0.6917905807495117 0.003939419984817505
201 -0.7111778259277344 0.7027065753936768 0.020719259977340698
202 -0.6998968124389648 0.7132671475410461 0.03737252950668335
203 -0.6882492303848267 0.7234688401222229 0.05388030409812927
204 -0.6762493848800659 0.7333172559738159 0.07023030519485474
205 -0.6639009714126587 0.7428110837936401 0.08640366792678833
206 -0.651215672492981 0.7519543170928955 0.102387934923172
207 -0.6381986737251282 0.7607486248016357 0.11816701292991638
208 -0.6248623728752136 0.7692014575004578 0.13372725248336792
209 -0.6112115383148193 0.7773044109344482 0.14905083179473877
