x y u v u_mag p u_mag_ref p_ref u_mag_diff p_diff
0.0 0.6938775777816772 -0.007457707542926073 0.005059054587036371 0.009011738933622837 -0.30161052942276 0.0 -0.3042524284257889 0.009011738933622837 0.0026418990030289136
0.0 0.7142857313156128 -0.005950694903731346 0.00704245176166296 0.00921991840004921 -0.34606486558914185 0.0 -0.3574197610082627 0.00921991840004921 0.01135489541912088
0.0 0.7346938848495483 -0.0033999313600361347 0.009413443505764008 0.010008619166910648 -0.39181336760520935 0.0 -0.41921739174270634 0.010008619166910648 0.027404024137496985
0.0 0.7551020383834839 -0.0001940553920576349 0.011870598420500755 0.011872184462845325 -0.4380670189857483 0.0 -0.49154796949768065 0.011872184462845325 0.05348095051193236
0.0 0.7755101919174194 0.003077841131016612 0.013672703877091408 0.014014847576618195 -0.4843929409980774 0.0 -0.5768012827005385 0.014014847576618195 0.09240834170246115
0.0 0.795918345451355 0.00577647564932704 0.013549691066145897 0.01472962275147438 -0.5319830775260925 0.0 -0.6845751088609694 0.01472962275147438 0.15259203133487687
0.0 0.8163265585899353 0.007449620869010687 0.009895572438836098 0.012386251240968704 -0.5865837633609772 0.0 -0.8194866024146081 0.012386251240968704 0.23290283905363096
0.0 0.8367347121238708 0.007988755591213703 0.0013924827799201012 0.008109206333756447 -0.6639647483825684 0.0 -0.9913524593119625 0.008109206333756447 0.3273877109293941
0.0 0.8571428656578064 0.00748958345502615 -0.011880120262503624 0.01404389925301075 -0.798555463552475 0.0 -1.215277259345055 0.01404389925301075 0.41672179579257995
0.0 0.8775510191917419 0.005396759603172541 -0.026604315266013145 0.027146171778440475 -1.0550659894943237 0.0 -1.5117618118476868 0.027146171778440475 0.45669582235336303
0.0 0.8979591727256775 -0.0009119290625676513 -0.03466768562793732 0.034679677337408066 -1.5421545505523682 0.0 -1.9292963066291806 0.034679677337408066 0.38714175607681245
0.0 0.918367326259613 -0.016141001135110855 -0.024117497727274895 0.029020434245467186 -2.420393228530884 0.0 -2.5610599479722964 0.029020434245467186 0.14066671944141262
0.0 0.9387755393981934 -0.03922422602772713 0.013204557821154594 0.041387200355529785 -3.863160014152527 0.0 -3.623426085624695 0.041387200355529785 0.2397339285278317
0.0 0.9591836929321289 -0.034876346588134766 0.06469257175922394 0.0734948217868805 -5.8696867525577545 0.0 -5.527616650543218 0.0734948217868805 0.3420701020145369
0.0 0.9795918464660645 0.12913964688777924 0.07860228419303894 0.15117992460727692 -7.9133240878582 0.09183692932128945 -8.029131693496707 0.059342995285987854 0.11580760563850667
0.0 1.0 0.7660389542579651 -0.021687263622879982 0.7663458585739136 -8.909276500344276 0.5 -9.86869 0.2663458585739136 0.9594134996557244
0.020408162847161293 0.0 0.0026489815209060907 -0.001199857098981738 0.002908051013946533 0.0030399858951568604 0.0 -0.00024477613492095466 0.002908051013946533 0.003284762030077815
0.020408162847161293 0.020408162847161293 0.0032810980919748545 -0.0011190116638317704 0.0034666687715798616 0.007991641759872437 4.1210575372007485e-05 0.00020178448897421362 0.003425458213314414 0.007789857270898223
0.020408162847161293 0.040816325694322586 0.0037321499548852444 -0.0007370091625489295 0.003804224543273449 0.013164430856704712 3.323415710772127e-05 0.0012558858149340302 0.0037709902971982956 0.011908545041770682
0.020408162847161293 0.06122449040412903 0.004008186049759388 -9.668618440628052e-05 0.0040093520656228065 0.018464326858520508 0.0001397293116443753 0.0028189272064645587 0.003869622712954879 0.015645399652055948
0.020408162847161293 0.08163265138864517 0.004114096984267235 0.0007515333709307015 0.004182176198810339 0.023789554834365845 0.00026796232534842193 0.004805770050644726 0.003914213739335537 0.01898378478372112
0.020408162847161293 0.10204081237316132 0.004057141020894051 0.0017481229733675718 0.004417728632688522 0.029039233922958374 0.0006478009472067205 0.0069028391992358865 0.0037699276581406593 0.02213639472372249
0.020408162847161293 0.12244898080825806 0.003846993437036872 0.0028538138139992952 0.004789948929101229 0.0341150164604187 0.0011208652831569315 0.009048920573091509 0.003669083584100008 0.025066095887327194
0.020408162847161293 0.1428571343421936 0.0034958000760525465 0.0040136375464499 0.005322584416717291 0.038916319608688354 0.0015657621264123917 0.011108717175283733 0.003756822319701314 0.027807602433404622
0.020408162847161293 0.16326530277729034 0.003018332412466407 0.005177325569093227 0.005992915015667677 0.0433465838432312 0.0023497357440912725 0.012846185476811232 0.003643179312348366 0.03050039836641997
0.020408162847161293 0.18367347121238708 0.002436497015878558 0.006303372792899609 0.006757886148989201 0.047304779291152954 0.0028400310341934864 0.01440097565548569 0.0039178552106022835 0.032903803635667264
0.020408162847161293 0.20408162474632263 0.00177550979424268 0.007352849934250116 0.007564181461930275 0.0506921112537384 0.003854907242417782 0.01547627325923592 0.003709274111315608 0.03521583799450248
0.020408162847161293 0.22448979318141937 0.0010635568760335445 0.008288086391985416 0.008356047794222832 0.0534096360206604 0.004760024392267317 0.01617349788226783 0.003596023190766573 0.03723613813839257
0.020408162847161293 0.2448979616165161 0.0003407692420296371 0.009097348898649216 0.009103728458285332 0.05535691976547241 0.005718120436745883 0.0162762857671082 0.003385608084499836 0.039080633998364214
0.020408162847161293 0.26530611515045166 -0.0003475482517387718 0.009768348187208176 0.009774528443813324 0.05643576383590698 0.00678668362242177 0.015828916628254953 0.002987844869494438 0.04060684720765203
0.020408162847161293 0.2857142686843872 -0.0009561297483742237 0.010313627310097218 0.010357852093875408 0.056543201208114624 0.008295679138226061 0.014726766595639287 0.0020621726289391518 0.041816434612475334
0.020408162847161293 0.30612245202064514 -0.0014283914351835847 0.010765447281301022 0.010859795846045017 0.05557745695114136 0.00957229395275414 0.013049493587839602 0.0012875022366642952 0.04252796336330175
0.020408162847161293 0.3265306055545807 -0.001713674166239798 0.011174403131008148 0.01130504161119461 0.053431540727615356 0.010796407942056656 0.01070877044529021 0.000508633442223072 0.04272277028232514
0.020408162847161293 0.34693875908851624 -0.0017694809939712286 0.011616703122854233 0.01175069622695446 0.050006359815597534 0.012433679822033646 0.0074107113403956565 0.0006829835474491119 0.04259564847520188
