idx,NONE,CHEBYSHEV,TOWER_CHEBYSHEV,FNN_BASIS,x,analytical
86,0.5073094666004181,0.5241368114948273,0.5198556929826736,0.5135737359523773,0.86868685,0.5155240768741128
87,0.5069183111190796,0.5232850611209869,0.5104710757732391,0.5054217576980591,0.8787879,0.5074543719305472
88,0.5064510703086853,0.5222592055797577,0.5044977962970734,0.5024344623088837,0.8888889,0.5045144896899083
89,0.505883514881134,0.5210335999727249,0.5028919130563736,0.5042033195495605,0.8989899,0.5064474809627212
90,0.5051892697811127,0.519582524895668,0.5056510865688324,0.5092493295669556,0.90909094,0.51199978136454
91,0.5043413043022156,0.5178846716880798,0.511618584394455,0.5154664516448975,0.9191919,0.5189212569652408
92,0.5033127963542938,0.5159285664558411,0.5185710191726685,0.5206620991230011,0.9292929,0.5241111406513123
93,0.5020748674869537,0.513720728456974,0.5236900895833969,0.5230997800827026,0.93939394,0.5259632964262332
94,0.5005993247032166,0.5113013088703156,0.5244448781013489,0.5219222605228424,0.94949496,0.5245770838559467
95,0.49885883927345276,0.508768804371357,0.5197647213935852,0.5173891484737396,0.959596,0.5205012149455107
96,0.4968239665031433,0.5063222199678421,0.5111130326986313,0.5108401477336884,0.969697,0.5147256126934115
97,0.494468092918396,0.5043355152010918,0.5026977062225342,0.5043630301952362,0.97979796,0.5086814507582202
98,0.4917641580104828,0.5035112798213959,0.49955999851226807,0.5002228915691376,0.989899,0.504240981234758
99,0.4886868894100189,0.5052270740270615,0.5017344653606415,0.5001766383647919,1.0,0.5037178007240238
